name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Honda City 1.3,1998,85000,120000,Petrol,Individual,Manual,1
Hyundai Verna 1.6,2018,860000,30000,Diesel,Dealer,Manual,1
Maruti S-Cross Sigma,2017,690000,41000,Diesel,Individual,Manual,0
Hyundai Elantra CRDi,2013,650000,54000,Diesel,Dealer,Manual,0
Chevrolet Sail LS,2014,375000,40000,Diesel,Individual,Manual,0
Hyundai Verna 1.6,2013,525000,71000,Diesel,Dealer,Manual,0
Maruti Eeco Smiles,2016,330000,72500,Petrol,Dealer,Manual,0
Maruti Eeco Smiles,2013,280000,76600,Petrol,Dealer,Manual,0
Maruti Swift ZXI,2014,470000,40000,Petrol,Individual,Manual,0
Volkswagen Polo Diesel,2011,350000,110000,Diesel,Individual,Manual,0
Honda City 1.5,2012,480000,63000,Petrol,Dealer,Manual,0
Hyundai Verna 1.6,2016,620000,60000,Diesel,Individual,Manual,0
Datsun GO T,2014,250000,58000,Petrol,Individual,Manual,0
Chevrolet Spark 1.0,2010,78692,80000,Petrol,Individual,Manual,1
Hyundai i20 Magna,2012,350000,80000,Diesel,Individual,Manual,0
Maruti Wagon R,2013,250000,70000,Petrol,Individual,Manual,1
Hyundai i20 1.2,2011,260000,97700,Petrol,Individual,Manual,3
Honda Mobilio S,2016,640000,36000,Diesel,Individual,Manual,1
Tata New Safari,2008,220000,90000,Diesel,Individual,Manual,1
Volkswagen Vento 1.5,2015,465000,130000,Diesel,Individual,Manual,0
Maruti Swift Vdi,2010,229999,120000,Diesel,Individual,Manual,1
Maruti Wagon R,2018,425000,15000,Petrol,Individual,Manual,0
Tata Indica GLS,2008,95000,120000,Petrol,Individual,Manual,2
Hyundai EON LPG,2012,170000,170000,LPG,Individual,Manual,2
Datsun RediGO T,2016,229999,37500,Petrol,Individual,Manual,1
Maruti 800 Std,1999,45000,50000,Petrol,Individual,Manual,2
Maruti Grand Vitara,2007,479000,145000,Petrol,Individual,Manual,2
Mahindra KUV 100,2016,370000,60000,Petrol,Individual,Manual,0
Hyundai EON Sportz,2016,340000,30000,Petrol,Individual,Manual,0
Maruti Swift Dzire,2016,620000,35000,Petrol,Individual,Manual,0
Tata Manza Club,2012,270000,60000,Diesel,Individual,Manual,0
Tata Tiago 1.05,2018,400000,35000,Diesel,Individual,Manual,0
Maruti Wagon R,2015,260000,40000,Petrol,Individual,Manual,0
Hyundai Santro LE,2003,48000,50000,Petrol,Individual,Manual,3
Tata Nano Twist,2015,100000,23800,Petrol,Individual,Manual,1
Nissan Terrano XL,2015,490000,70000,Diesel,Individual,Manual,0
Maruti Wagon R,2010,120000,90000,LPG,Individual,Manual,1
Hyundai i10 Era,2008,125000,102000,Petrol,Individual,Manual,1
Hyundai EON Era,2013,160000,80000,Petrol,Individual,Manual,0
Maruti Alto 800,2019,190000,5000,Petrol,Individual,Manual,0
Tata Harrier XZ,2019,1700000,10000,Diesel,Individual,Manual,0
Hyundai i10 Sportz,2011,250000,50000,Petrol,Individual,Manual,0
Maruti Ignis 1.2,2019,500000,15000,Petrol,Individual,Manual,0
Toyota Corolla Altis,2008,400000,35000,Petrol,Individual,Manual,1
Fiat Linea T,2011,500000,20000,Petrol,Individual,Manual,0
Toyota Fortuner 4x2,2014,1800000,99000,Diesel,Individual,Automatic,0
Honda Civic 1.8,2008,320000,90000,Petrol,Individual,Manual,0
Honda Civic 1.8,2007,250000,47000,Petrol,Dealer,Automatic,0
Ford Figo Diesel,2010,105000,90000,Diesel,Individual,Manual,2
Hyundai i20 Active,2018,550000,20000,Petrol,Individual,Manual,0
Hyundai Grand i10,2019,600000,1100,Petrol,Individual,Automatic,0
Maruti Alto 800,2020,210000,40000,Petrol,Individual,Manual,0
Maruti Alto 800,2012,210000,15000,Petrol,Individual,Manual,0
Maruti Alto LXi,2009,150000,40000,Petrol,Individual,Manual,0
Hyundai i10 Era,2008,125000,60000,Petrol,Individual,Manual,0
Maruti Celerio VXI,2016,380000,20000,Petrol,Individual,Manual,0
Maruti Baleno Delta,2019,600000,5000,Petrol,Individual,Manual,0
Maruti Swift VXI,2016,490000,27000,Petrol,Individual,Manual,0
Maruti Swift Dzire,2018,545000,38000,Diesel,Individual,Manual,1
Maruti Wagon R,2015,250000,25000,Petrol,Individual,Manual,0
Hyundai Venue SX,2020,1050000,1100,Petrol,Individual,Manual,0
Maruti Wagon R,2007,100000,100000,Petrol,Individual,Manual,0
Ford Figo Diesel,2014,250000,100000,Diesel,Individual,Manual,1
Maruti Wagon R,2007,100000,110000,Petrol,Individual,Manual,0
Ford Figo 1.5D,2016,350000,60000,Diesel,Individual,Manual,1
Renault Duster 110PS,2012,370000,70000,Diesel,Individual,Manual,1
Maruti Zen VXi,2004,121000,110000,Petrol,Individual,Manual,1
Ford Figo Aspire,2017,570000,44077,Petrol,Dealer,Automatic,0
Maruti Ertiga SHVS,2017,785000,24000,Diesel,Individual,Manual,0
Maruti Ciaz S,2018,850000,30000,Diesel,Individual,Manual,0
Maruti Wagon R,2016,375000,30000,Petrol,Individual,Manual,1
Maruti Baleno Alpha,2017,619000,40000,Petrol,Individual,Manual,0
Chevrolet Cruze LTZ,2011,335000,90000,Diesel,Individual,Manual,1
Toyota Innova 2.5,2006,500000,50000,Diesel,Individual,Manual,0
Maruti Wagon R,2003,60000,100000,Petrol,Individual,Manual,1
Maruti Zen Estilo,2010,130000,50000,Petrol,Individual,Manual,1
Mahindra Ingenio CRDe,2015,210000,210000,Diesel,Individual,Manual,0
Toyota Innova Crysta,2019,1900000,20000,Diesel,Individual,Manual,0
Tata Indigo TDI,2013,270000,70000,Diesel,Individual,Manual,1
Maruti Wagon R,2010,225000,100000,Petrol,Individual,Manual,1
Maruti SX4 ZXI,2011,150000,160000,Petrol,Individual,Manual,1
Chevrolet Beat Diesel,2013,173000,70000,Diesel,Individual,Manual,0
BMW 5 Series,2018,4800000,9422,Diesel,Individual,Automatic,0
Volkswagen Vento 1.5,2017,710000,110000,Diesel,Individual,Automatic,0
Toyota Corolla Altis,2019,1500000,20000,Petrol,Individual,Manual,0
Maruti Baleno Zeta,2017,550000,20000,Petrol,Individual,Manual,0
Maruti 800 AC,2008,58000,70000,Petrol,Individual,Manual,1
Audi A4 1.8,2012,1200000,60000,Petrol,Individual,Automatic,2
Mahindra Scorpio M2DI,2013,500000,150000,Diesel,Individual,Manual,0
Maruti Swift LXi,2009,120000,83000,Petrol,Individual,Manual,1
Toyota Innova 2.5,2012,300000,250000,Diesel,Individual,Manual,0
Hyundai EON Era,2018,300000,30000,Petrol,Individual,Manual,0
Datsun GO Plus,2015,295000,21000,Petrol,Individual,Manual,0
Maruti Ertiga VXI,2018,587000,80000,CNG,Individual,Manual,0
Ambassador Grand 1800,2012,430000,50000,Petrol,Individual,Manual,1
Hyundai Verna i,2007,123000,50000,Petrol,Individual,Manual,1
Skoda Laura Ambiente,2012,450000,48500,Diesel,Individual,Automatic,1
Maruti Wagon R,2007,130000,60000,Petrol,Individual,Manual,2
Tata Indica Vista,2010,110000,90000,Diesel,Individual,Manual,1
Mahindra Xylo Celebration,2010,200000,240000,Diesel,Individual,Manual,2
Hyundai Grand i10,2015,320000,70000,Petrol,Individual,Manual,1
Maruti Wagon R,2014,300000,50000,Petrol,Individual,Manual,0
Volkswagen CrossPolo 1.2,2016,350000,110000,Petrol,Individual,Manual,0
Maruti Ertiga VXI,2018,800000,50000,Petrol,Individual,Manual,0
Hyundai Xcent 1.1,2016,270000,175000,Diesel,Individual,Manual,0
Hyundai i20 1.2,2017,540000,60000,Petrol,Individual,Manual,0
Maruti Wagon R,2011,160000,60000,CNG,Individual,Manual,1
Maruti SX4 VDI,2013,340000,100000,Diesel,Individual,Manual,1
Maruti Eeco 5,2017,350000,40000,Petrol,Individual,Manual,1
Volkswagen Vento Diesel,2011,300000,100000,Diesel,Individual,Manual,0
Maruti Ritz VDi,2013,330000,63000,Diesel,Individual,Manual,0
Maruti Wagon R,2016,325000,80000,CNG,Individual,Manual,1
Maruti Swift Dzire,2013,250000,55000,Diesel,Individual,Manual,0
Maruti Swift Star,2013,250000,55000,Diesel,Individual,Manual,0
Chevrolet Beat LT,2015,240000,60000,Petrol,Individual,Manual,0
Hyundai Grand i10,2020,545000,5000,Petrol,Individual,Manual,0
Hyundai i10 Magna,2015,300000,48000,Petrol,Dealer,Manual,0
Chevrolet Beat LT,2010,130000,80000,Petrol,Individual,Manual,1
Renault KWID RXT,2017,240000,50000,Petrol,Individual,Manual,0
Renault KWID 1.0,2018,360000,15000,Petrol,Individual,Manual,0
Hyundai i20 1.4,2012,250000,70000,Diesel,Individual,Manual,0
Skoda Laura Elegance,2019,475000,105000,Diesel,Dealer,Automatic,0
Hyundai i20 Asta,2016,600000,50000,Diesel,Individual,Manual,1
Tata Indigo CR4,2010,150000,80000,Diesel,Individual,Manual,1
Ford EcoSport 1.5,2017,700000,50000,Diesel,Individual,Manual,0
Mahindra XUV500 W6,2016,1290000,5000,Diesel,Individual,Manual,0
Hyundai Santro Xing,2004,80000,58000,Petrol,Individual,Manual,0
Hyundai Grand i10,2015,425000,12000,Petrol,Individual,Manual,0
Maruti Celerio ZXI,2018,500000,10000,Petrol,Individual,Automatic,0
Hyundai Santro Xing,2012,193000,45000,Petrol,Individual,Manual,1
Honda City i,2015,800000,10000,Petrol,Individual,Manual,0
Maruti Wagon R,2008,150000,50000,Petrol,Individual,Manual,0
Maruti 800 AC,2002,80000,40000,Petrol,Individual,Manual,3
Ford Figo Diesel,2010,130000,100000,Diesel,Individual,Manual,2
Ford Figo Diesel,2012,280000,80000,Diesel,Individual,Manual,1
Mahindra Xylo D2,2011,229999,110000,Diesel,Individual,Manual,1
Maruti Zen Estilo,2008,80000,120000,Petrol,Individual,Manual,0
Tata Nano Cx,2010,70000,10000,Petrol,Individual,Manual,0
Maruti Ritz VDi,2013,240000,60000,Diesel,Individual,Manual,1
Mahindra Xylo E8,2010,380000,72000,Diesel,Individual,Manual,1
Maruti Ritz VDi,2013,240000,60000,Diesel,Individual,Manual,1
Hyundai Santro Xing,2006,80000,110000,Petrol,Individual,Manual,0
Hyundai i10 Era,2013,265000,50000,Petrol,Individual,Manual,0
Hyundai EON Magna,2018,320000,25000,Petrol,Individual,Manual,0
Nissan Terrano XL,2014,500000,120000,Diesel,Individual,Manual,2
Hyundai Creta 1.6,2016,1300000,55000,Diesel,Individual,Manual,0
Mahindra Scorpio S11,2018,1500000,35000,Diesel,Individual,Manual,0
Toyota Innova Crysta,2016,1800000,110000,Diesel,Individual,Automatic,0
Mahindra XUV500 W6,2014,600000,80000,Diesel,Individual,Manual,1
Tata Tiago 1.2,2018,420000,80000,Petrol,Individual,Manual,0
Maruti Zen Estilo,2009,140000,120000,Petrol,Individual,Manual,0
Skoda Laura Ambiente,2010,300000,100000,Diesel,Individual,Manual,1
Hyundai Santro Xing,2006,100000,60000,Petrol,Dealer,Manual,1
Maruti Alto K10,2017,350000,25000,Petrol,Dealer,Manual,0
Ford EcoSport 1.5,2018,850000,19000,Petrol,Dealer,Manual,0
Maruti Alto LX,2008,140000,54000,Petrol,Dealer,Manual,0
Ford Aspire Titanium,2015,550000,17100,Petrol,Dealer,Manual,1
Hyundai Grand i10,2017,525000,19000,Petrol,Dealer,Automatic,0
Ford Ecosport 1.5,2015,470000,146000,Diesel,Dealer,Manual,0
Ford Endeavour 3.0L,2013,900000,98000,Diesel,Dealer,Automatic,0
Ford Endeavour 2.5L,2011,500000,224642,Diesel,Dealer,Manual,1
Maruti Zen LXI,1998,80000,120000,Petrol,Individual,Manual,1
Mahindra Verito 1.5,2011,175000,175000,Diesel,Individual,Manual,0
Mahindra XUV500 AT,2017,1350000,15000,Diesel,Individual,Automatic,1
Renault Duster 110PS,2017,800000,50000,Diesel,Individual,Manual,0
Datsun RediGO 1.0,2017,250000,15000,Petrol,Individual,Manual,0
Maruti Ignis 1.2,2018,700000,25000,Petrol,Individual,Automatic,0
Tata Nexon 1.5,2019,800000,25000,Diesel,Individual,Manual,0
Mahindra XUV500 W6,2013,660000,69000,Diesel,Individual,Manual,0
Maruti Swift VDI,2015,465000,60000,Diesel,Individual,Manual,2
Mahindra Scorpio 2.6,2006,180000,222435,Diesel,Individual,Manual,1
Maruti Swift Dzire,2017,600000,66000,Diesel,Individual,Manual,2
Ford Fiesta 1.4,2010,150000,110000,Petrol,Individual,Manual,0
Hyundai Verna 1.6,2014,450000,78000,Diesel,Individual,Manual,1
Hyundai Elite i20,2019,721000,10000,Petrol,Individual,Manual,0
Maruti Swift 1.2,2018,300000,35000,Petrol,Individual,Manual,0
Mahindra Scorpio BSIV,2019,1000000,10000,Diesel,Individual,Manual,0
Renault KWID RXT,2016,300000,40000,Petrol,Individual,Manual,0
Mahindra Scorpio LX,2013,450000,120000,Diesel,Individual,Manual,0
Maruti Esteem AX,1997,79000,70000,Petrol,Individual,Automatic,0
Ford Figo 1.5D,2017,545000,40000,Diesel,Individual,Manual,0
Honda Amaze V,2018,844999,20000,Diesel,Individual,Manual,0
Skoda Rapid 1.5,2016,700000,93000,Diesel,Individual,Manual,0
Toyota Etios VD,2016,650000,159000,Diesel,Individual,Manual,0
Ford Ecosport 1.5,2014,525000,75000,Diesel,Individual,Manual,1
Ford Fiesta Classic,2006,110000,101100,Diesel,Individual,Manual,2
Tata Indica Vista,2011,180000,66000,Diesel,Individual,Manual,0
Hyundai i10 Era,2012,280000,30000,Petrol,Individual,Manual,1
Renault KWID 1.0,2019,400000,10000,Petrol,Individual,Manual,0
Mahindra XUV500 W8,2012,625000,126000,Diesel,Individual,Manual,1
Volkswagen Vento 1.5,2015,535000,70000,Diesel,Individual,Manual,0
Maruti Swift VDI,2017,459999,50000,Diesel,Individual,Manual,0
Mahindra Bolero DI,2010,300000,100000,Diesel,Individual,Manual,0
Honda Civic 1.8,2007,280000,60000,Petrol,Individual,Automatic,0
Honda Mobilio V,2014,500000,70000,Petrol,Individual,Manual,0
Hyundai Creta 1.6,2019,1200000,1200,Petrol,Individual,Manual,0
Renault KWID RXT,2016,300000,40000,Petrol,Individual,Manual,0
Tata Manza ELAN,2011,180000,80000,Diesel,Individual,Manual,2
Hyundai i10 Sportz,2011,180000,134444,Petrol,Individual,Automatic,1
Maruti Alto LXi,2009,78000,120000,Petrol,Individual,Manual,1
Nissan Micra Diesel,2011,160000,120000,Diesel,Individual,Manual,0
Mahindra Scorpio VLX,2014,600000,238000,Diesel,Individual,Manual,0
Maruti Wagon R,2008,110000,100000,Petrol,Individual,Manual,1
Mahindra Bolero SLX,2011,450000,110000,Diesel,Individual,Manual,1
Mahindra Scorpio S9,2019,1350000,35000,Diesel,Individual,Manual,0
Honda City 1.3,2003,120000,165000,Petrol,Individual,Manual,1
Honda BR-V i-DTEC,2018,1040000,42000,Diesel,Individual,Manual,0
Hyundai Grand i10,2014,390000,70000,Diesel,Individual,Manual,1
Tata Nano Lx,2011,65000,60000,Petrol,Individual,Manual,1
Volkswagen Polo Diesel,2013,320000,115000,Diesel,Individual,Manual,2
Volkswagen Ameo 1.5,2017,720000,70000,Diesel,Individual,Manual,0
Maruti Swift ZXI,2007,220000,80000,Petrol,Individual,Manual,1
Maruti Wagon R,2011,225000,65000,Petrol,Dealer,Manual,0
Tata Manza Aura,2010,200000,150000,Diesel,Individual,Manual,1
Toyota Etios GD,2015,434999,75000,Diesel,Dealer,Manual,1
Ford Figo Diesel,2012,300000,63700,Diesel,Individual,Manual,0
Honda Amaze VX,2018,700000,74800,Diesel,Individual,Manual,0
Ford Endeavour 2.5L,2009,500000,105000,Diesel,Individual,Manual,1
Renault Duster 85PS,2016,500000,40000,Diesel,Individual,Manual,0
Maruti Ritz LDi,2016,400000,90000,Diesel,Individual,Manual,1
Toyota Corolla Altis,2015,825000,75000,Diesel,Dealer,Manual,1
Maruti Swift Dzire,2018,720000,15000,Diesel,Individual,Manual,0
Maruti 800 AC,2009,110000,30000,Petrol,Individual,Manual,1
Mahindra Scorpio VLX,2014,600000,100000,Diesel,Individual,Manual,1
Mahindra Scorpio VLX,2009,275000,155000,Diesel,Individual,Automatic,2
Land Rover Range,2012,2349000,149000,Diesel,Individual,Automatic,1
Hyundai i20 1.4,2017,740000,60000,Diesel,Individual,Manual,0
Maruti Baleno Alpha,2017,800000,90000,Diesel,Individual,Manual,0
Hyundai Verna CRDi,2019,1100000,100000,Diesel,Individual,Manual,0
BMW X1 sDrive20d,2012,750000,100000,Diesel,Individual,Automatic,1
Maruti Alto K10,2012,200000,90000,Petrol,Individual,Manual,1
Tata Spacio SA,2009,210000,75000,Diesel,Individual,Manual,0
Maruti Swift VDI,2009,270000,120000,Diesel,Individual,Manual,1
Toyota Etios 1.4,2016,630000,90000,Diesel,Individual,Manual,1
Hyundai Xcent 1.2,2015,375000,55000,Petrol,Individual,Manual,0
Mahindra Xylo D2,2010,300000,70000,Diesel,Individual,Manual,0
Mahindra Bolero Power,2016,580000,95000,Diesel,Individual,Manual,1
Hyundai Verna 1.4,2014,550000,50000,Diesel,Individual,Manual,0
Maruti Ciaz ZDi,2016,750000,50000,Diesel,Individual,Manual,0
Maruti Omni E,2014,250000,60516,Petrol,Individual,Manual,0
Hyundai Verna 1.6,2012,434999,235000,Diesel,Individual,Manual,1
Mercedes-Benz E-Class 280,2007,900000,76731,Diesel,Dealer,Automatic,0
Maruti Swift ZDI,2016,685000,64000,Diesel,Dealer,Manual,0
Maruti Swift VDI,2014,540000,65000,Diesel,Dealer,Manual,0
Honda City i-VTEC,2018,1165000,13000,Petrol,Dealer,Automatic,1
Ford Ecosport 1.5,2014,610000,77000,Diesel,Dealer,Manual,0
Hyundai EON Era,2011,254999,24000,Petrol,Dealer,Manual,0
Nissan Micra Active,2014,280000,63840,Petrol,Dealer,Manual,0
Tata Tiago 1.2,2017,370000,25000,Petrol,Individual,Manual,0
Tata New Safari,2011,459999,76400,Diesel,Individual,Manual,1
Maruti Zen LX,1998,42000,70000,Petrol,Individual,Manual,2
Maruti Zen LX,1998,42000,70000,Petrol,Individual,Manual,2
Fiat Linea Active,2011,190000,80000,Diesel,Individual,Manual,2
Fiat Punto 1.4,2010,165000,100000,Petrol,Individual,Manual,3
Ford EcoSport 1.5,2017,710000,40000,Diesel,Individual,Manual,0
Hyundai Creta 1.6,2018,1200000,15000,Petrol,Individual,Manual,0
Maruti Zen Estilo,2011,229999,70000,Petrol,Individual,Manual,0
Renault KWID RXT,2018,310000,15000,Petrol,Individual,Manual,0
Maruti Wagon R,2015,320000,40000,Petrol,Individual,Manual,0
Maruti 800 AC,2006,100000,54000,Petrol,Individual,Manual,0
Hyundai Verna CRDi,2009,160000,90000,Diesel,Individual,Manual,0
Maruti 800 AC,2007,60000,52000,Petrol,Individual,Manual,0
Tata Indigo LS,2012,100000,200000,Diesel,Individual,Manual,2
Chevrolet Beat Diesel,2016,350000,35000,Diesel,Individual,Manual,1
Renault Duster 110PS,2017,700000,60000,Diesel,Individual,Manual,0
Maruti Alto K10,2017,300000,31489,Petrol,Individual,Manual,0
Hyundai i20 1.4,2018,830000,40000,Diesel,Individual,Manual,0
Mahindra Quanto C6,2013,220000,110000,Diesel,Individual,Manual,0
Tata Indigo LX,2009,130000,50000,Diesel,Individual,Manual,0
Hyundai i20 1.2,2012,330000,44000,Petrol,Individual,Manual,0
Honda City 1.5,2010,254999,90000,Petrol,Individual,Manual,1
Hyundai Verna 1.6,2014,600000,50000,Petrol,Individual,Manual,1
Hyundai i10 Magna,2012,210000,50000,Petrol,Individual,Manual,0
Maruti Zen Estilo,2007,120000,81366,Petrol,Individual,Manual,0
Maruti Esteem Vxi,2006,95000,110000,Petrol,Individual,Manual,0
Toyota Innova 2.5,2006,229999,300000,Diesel,Individual,Manual,0
Hyundai Verna Transform,2010,229999,70000,Petrol,Individual,Manual,0
Hyundai i20 Magna,2013,400000,100000,Diesel,Individual,Manual,0
Maruti Gypsy King,2005,300000,70000,Petrol,Individual,Manual,1
Ford Figo Diesel,2013,300000,50000,Diesel,Individual,Manual,0
Ford Fiesta 1.4,2009,80000,180000,Diesel,Individual,Manual,1
Maruti 800 AC,2008,80000,50000,Petrol,Individual,Manual,1
Maruti Esteem Vxi,2007,100000,90000,Petrol,Individual,Manual,1
Tata Indica Vista,2012,300000,110000,Diesel,Individual,Manual,0
Maruti Baleno Zeta,2018,700000,26000,Petrol,Individual,Automatic,0
Maruti Vitara Brezza,2016,975000,65000,Diesel,Individual,Manual,0
Chevrolet Captiva LT,2009,500000,130000,Diesel,Individual,Manual,0
Renault Duster 85PS,2013,550000,75000,Diesel,Individual,Manual,1
Nissan Terrano XV,2014,550000,110000,Diesel,Individual,Manual,1
Maruti Alto K10,2014,240000,50000,Petrol,Individual,Manual,0
Maruti 800 Std,1997,50000,80000,Petrol,Individual,Manual,1
Tata Indica Vista,2009,120000,80000,Petrol,Individual,Manual,1
Maruti Alto 800,2013,900000,60000,Petrol,Individual,Manual,1
Honda City 1.5,2009,250000,90000,Petrol,Individual,Manual,1
Renault KWID 1.0,2017,280000,36000,Petrol,Individual,Manual,0
Tata Indica Vista,2010,85000,87000,Diesel,Individual,Manual,0
Tata Indica Vista,2011,90000,80000,Diesel,Individual,Manual,0
Chevrolet Enjoy TCDi,2015,500000,50000,Diesel,Individual,Manual,0
Maruti 800 Std,2013,200000,60000,Petrol,Individual,Manual,0
Renault KWID RXT,2015,250000,50000,Petrol,Individual,Manual,0
Maruti Swift Dzire,2014,185000,40000,Diesel,Individual,Manual,2
Hyundai i10 Magna,2008,100000,60000,Petrol,Individual,Manual,1
Toyota Etios VXD,2015,610000,55000,Diesel,Individual,Manual,0
Mahindra Quanto C8,2012,290000,80000,Diesel,Individual,Manual,0
Mahindra Xylo E9,2012,300000,295000,Diesel,Individual,Manual,0
Hyundai EON Era,2015,225000,80000,Petrol,Individual,Manual,0
Maruti Alto K10,2017,320000,50000,Petrol,Individual,Manual,1
Tata Indigo CR4,2012,135000,158000,Diesel,Individual,Manual,2
Toyota Innova 2.5,2006,400000,400000,Diesel,Individual,Manual,2
Maruti Wagon R,2016,400000,25000,Petrol,Individual,Manual,0
Hyundai i20 Active,2017,570000,35000,Petrol,Individual,Manual,0
Maruti Ignis 1.2,2018,500000,12000,Petrol,Individual,Manual,0
Maruti Omni MPI,2015,130000,70000,Petrol,Individual,Manual,0
Tata Tiago 1.2,2018,360000,4000,Petrol,Individual,Manual,0
Ford Figo Aspire,2017,530000,10832,Petrol,Dealer,Manual,0
Hyundai i10 Era,2009,250000,50000,Petrol,Individual,Manual,0
Nissan Sunny XL,2016,600000,19495,Petrol,Dealer,Manual,0
Renault Duster 85PS,2013,570000,62668,Diesel,Dealer,Manual,0
Mahindra XUV500 W6,2013,850000,85710,Diesel,Dealer,Manual,0
Ford Figo Diesel,2011,250000,55130,Diesel,Dealer,Manual,1
Ford Ecosport 1.5,2014,580000,63356,Diesel,Dealer,Manual,1
Toyota Fortuner 3.0,2012,1680000,129627,Diesel,Dealer,Manual,0
Chevrolet Spark 1.0,2010,180000,15000,Petrol,Individual,Manual,0
Tata Tiago 1.2,2017,300000,50000,Petrol,Individual,Manual,0
Toyota Etios Liva,2012,269000,70000,Petrol,Individual,Manual,1
Maruti Alto K10,2018,231999,20000,Petrol,Individual,Manual,0
Chevrolet Beat LS,2011,150000,60000,Petrol,Individual,Manual,2
Hyundai Grand i10,2017,495000,5000,Petrol,Individual,Manual,0
Maruti Ciaz VXi,2014,700000,15000,Petrol,Individual,Manual,0
Datsun GO Plus,2018,400000,4400,Petrol,Individual,Manual,1
Mahindra Xylo H4,2019,599000,15000,Diesel,Individual,Manual,2
Renault Duster 85PS,2013,421000,45000,Diesel,Individual,Manual,0
Ford EcoSport 1.5,2018,841000,1000,Diesel,Individual,Manual,0
Hyundai i10 Magna,2014,295000,38500,Petrol,Individual,Manual,0
Hyundai i10 Sportz,2011,220000,25000,Petrol,Individual,Manual,0
Ford Classic 1.4,2013,250000,35000,Diesel,Individual,Manual,0
Toyota Fortuner 3.0,2009,1100000,110000,Diesel,Individual,Manual,1
Hyundai Verna 1.6,2012,300000,40000,Petrol,Individual,Manual,0
Chevrolet Aveo U-VA,2007,80000,110000,Petrol,Individual,Manual,1
Chevrolet Beat Diesel,2013,215000,20000,Diesel,Individual,Manual,2
Hyundai EON Magna,2012,245000,14987,Petrol,Dealer,Manual,0
Ford EcoSport 1.5,2016,650000,25061,Diesel,Dealer,Manual,0
Ford Ecosport 1.5,2017,760000,42494,Diesel,Dealer,Manual,0
Honda Amaze S,2014,395000,44875,Diesel,Dealer,Manual,0
Ford Figo Diesel,2014,280000,89741,Diesel,Dealer,Manual,1
Honda Jazz 1.5,2016,495000,65000,Diesel,Dealer,Manual,0
Honda Jazz 1.5,2016,525000,35000,Diesel,Dealer,Manual,0
Toyota Innova 2.5,2009,420000,347089,Diesel,Dealer,Manual,0
Tata New Safari,2010,210000,34500,Diesel,Individual,Manual,0
Hyundai i20 Active,2018,650000,30000,Petrol,Individual,Manual,0
BMW 3 Series,2018,2300000,39000,Diesel,Individual,Automatic,0
Ford Freestyle Titanium,2019,525000,16000,Diesel,Individual,Manual,0
Maruti Wagon R,2010,195000,80000,CNG,Individual,Manual,1
Maruti Ertiga SHVS,2016,650000,60000,Diesel,Individual,Manual,0
Mahindra TUV 300,2015,540000,110000,Diesel,Individual,Manual,0
Maruti Alto 800,2014,180000,61000,Petrol,Individual,Manual,0
Mahindra Bolero Power,2017,750000,29000,Diesel,Individual,Manual,0
Maruti Ertiga SHVS,2018,980000,50000,Diesel,Individual,Manual,0
Fiat Grande Punto,2014,250000,90000,Diesel,Individual,Manual,0
Hyundai Grand i10,2018,550000,35000,Petrol,Individual,Automatic,0
Volkswagen Vento 1.6,2015,509999,43000,Petrol,Individual,Manual,1
Maruti Alto K10,2017,320000,50000,Petrol,Individual,Manual,0
Hyundai EON D,2016,275000,25000,Petrol,Individual,Manual,0
Mahindra XUV500 W8,2013,550000,222252,Diesel,Individual,Manual,0
Maruti Wagon R,2009,145000,50000,Petrol,Individual,Manual,1
Fiat Grande Punto,2013,250000,80000,Diesel,Individual,Manual,0
Hyundai Verna 1.6,2012,520000,35000,Diesel,Individual,Manual,0
Maruti Alto LXi,2007,95000,85000,Petrol,Individual,Manual,1
Toyota Innova 2.5,2011,725000,110000,Diesel,Individual,Manual,2
Maruti 800 AC,2006,55000,70000,Petrol,Individual,Manual,1
Honda City i,2014,600000,100000,Diesel,Individual,Manual,0
Volkswagen Vento New,2013,330000,120000,Diesel,Individual,Manual,1
Maruti Swift Dzire,2015,470000,89000,Diesel,Individual,Manual,0
Maruti Swift ZDi,2013,365000,120000,Diesel,Individual,Manual,0
Hyundai EON Magna,2013,250000,40000,Petrol,Individual,Manual,1
Maruti Wagon R,2017,430000,17000,Petrol,Individual,Manual,0
Maruti Swift VDI,2013,400000,125000,Diesel,Individual,Manual,1
Maruti Swift Dzire,2015,615000,110000,Petrol,Individual,Manual,1
Ford Figo Diesel,2011,150000,120000,Diesel,Individual,Manual,1
Ford Figo Diesel,2014,240000,90000,Diesel,Individual,Manual,0
Mahindra Scorpio S10,2014,800000,90000,Diesel,Individual,Manual,0
Hyundai EON LPG,2015,240000,110000,LPG,Individual,Manual,0
Ford Ecosport 1.5,2014,600000,87000,Diesel,Individual,Manual,1
Mahindra Scorpio LX,2014,800000,15000,Diesel,Individual,Manual,0
Hyundai EON 1.0,2015,160000,70000,Petrol,Individual,Manual,0
Ford Fiesta Classic,2012,350000,38000,Petrol,Individual,Manual,0
Honda City 1.5,2011,300000,64000,Petrol,Individual,Manual,1
Tata Sumo Gold,2015,399000,55250,Diesel,Individual,Manual,0
Mahindra Bolero DI,2011,300000,110000,Diesel,Individual,Manual,0
Maruti A-Star AT,2012,150000,70000,Petrol,Individual,Automatic,0
